Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Male,26,0,260000,Chit fund,7000,Family member,Brokers,Children's education/ Marriage,1,1
Female,48,1,150000,Crypto currency,5000,Self,Brokers,Personal Savings,9,2
Female,45,1,400000,"Real estate, Bonds",5000,Social media/ Articles,News articles / Current affairs,Personal Savings,15,3
Male,45,0,400000,Crypto currency,3000,Friends,Family members/Friends,Construction of own House / Buying a new Car,25,0
Female,38,1,150000,"Stocks - Intraday, long term",1000,Self motivation ,Investors in bank,Regarding your / Your Siblings marriage,5,8
Female,42,1,400000,"Real estate, Bonds",3000,Social media/ Articles,News articles / Current affairs,Wealth generation,21,7
Male,44,0,360000,Chit fund,2000,Self,Brokers,Wealth generation,25,1
Male,58,0,300000,"Real estate, Bonds",1000,Family member,Brokers,Planning for finacial freedom after Retirement,6,5
Female,45,1,250000,"Stocks - Intraday, long term",2000,Self ,Social media/ Articles,All the above ,15,7
Male,49,0,350000,"Banking - RD, FD",2000,Through Bank,Social media/ Articles,Planning for finacial freedom after Retirement,15,7
Female,46,1,300000,Not prepared ,5000,Through Bank,News articles / Current affairs,Children's education/ Marriage,5,2
Male,57,1,150000,Mutual Funds,0,Social media/ Articles,Books,Construction of own House / Buying a new Car,7,6
Male,29,0,400000,"Stocks - Intraday, long term",1000,Schemes,Investors in bank,Children's education/ Marriage,8,0
Male,21,1,120000,Mutual Funds,7000,No one,News articles / Current affairs,Wealth generation,2,8
Male,30,1,500000,"Stocks - Intraday, long term",3000,Agents/Investment brokers,Social media/ Articles,Wealth generation,15,1
Male,34,1,180000,Gold / Any other Materialistic investment,7000,No one,Mobile applications,Construction of own House / Buying a new Car,4,4
Male,55,1,384000,Gold / Any other Materialistic investment,7000,Agents/Investment brokers,Books,Construction of own House / Buying a new Car,20,3
Female,20,1,384000,Not prepared ,7000,Self motivation ,Mobile applications,Tax saving,25,0
Female,27,0,180000,"Banking - RD, FD",1000,No one,Social media/ Articles,Personal Savings,21,7
Male,55,0,280000,"Banking - RD, FD",1000,Self Interest ,Investors in bank,All the above ,7,3
Female,39,1,80,"Banking - RD, FD",0,Agents/Investment brokers,Mobile applications,Wealth generation,4,2
Male,23,0,384000,Gold / Any other Materialistic investment,5000,Agents/Investment brokers,Family members/Friends,Children's education/ Marriage,21,3
Male,25,0,250000,Mutual Funds,1000,Self,Family members/Friends,All the above ,10,8
Female,45,0,350000,Mutual Funds,2000,Self motivation ,Family members/Friends,Construction of own House / Buying a new Car,9,7
Male,34,0,280000,Crypto currency,10000,Friends,Books,Planning for finacial freedom after Retirement,15,0
Female,26,0,180000,"Banking - RD, FD",5000,Self motivation ,Mobile applications,Construction of own House / Buying a new Car,9,5
Female,47,1,260000,Gold / Any other Materialistic investment,10000,No one,Family members/Friends,Regarding your / Your Siblings marriage,25,3
Female,19,1,350000,"Banking - RD, FD",2000,No one,Family members/Friends,Planning for finacial freedom after Retirement,8,4
Male,18,1,300000,Marketing ,7000,Self,Investors in bank,Wealth generation,10,8
Female,60,1,180000,Mutual Funds,5000,Through Bank,Investors in bank,Tax saving,1,5
Female,36,1,0,Not prepared ,7000,Self motivation ,Mobile applications,Children's education/ Marriage,25,7
Male,33,1,300000,"Banking - RD, FD",10000,Self motivation ,Books,Wealth generation,1,6
Female,53,0,384000,Gold / Any other Materialistic investment,7000,Self motivation ,Books,Wealth generation,9,6
Female,30,0,200000,Mutual Funds,5000,Friends,Brokers,Planning for finacial freedom after Retirement,20,5
Male,20,0,600000,Chit fund,0,Self Interest ,Family members/Friends,All the above ,8,1
Male,46,0,180000,"Real estate, Bonds",7000,Self Interest ,Family members/Friends,Wealth generation,1,1
Female,52,1,0,Marketing ,3000,No one,Mobile applications,Planning for finacial freedom after Retirement,1,0
Male,29,0,150000,Chit fund,0,Agents/Investment brokers,News articles / Current affairs,Tax saving,6,6
Male,27,1,260000,Chit fund,10000,Self Interest ,Books,Planning for finacial freedom after Retirement,4,6
Male,31,0,500000,Marketing ,3000,Self motivation ,Mobile applications,Regarding your / Your Siblings marriage,6,3
Male,18,0,600000,"Stocks - Intraday, long term",10000,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,20,3
Female,44,0,600000,Crypto currency,3000,No one,Books,All the above ,3,0
Male,51,0,260000,"Real estate, Bonds",7000,Self motivation ,Investors in bank,Tax saving,8,1
Male,24,0,384000,Crypto currency,7000,Schemes,Brokers,Tax saving,5,0
Male,42,0,200000,Crypto currency,7000,Agents/Investment brokers,News articles / Current affairs,Personal Savings,15,8
Male,58,1,180000,"Stocks - Intraday, long term",5000,Self motivation ,Mobile applications,Personal Savings,2,0
Female,42,1,280000,"Real estate, Bonds",3000,Social media/ Articles,Family members/Friends,Children's education/ Marriage,1,6
Male,52,0,150000,Marketing ,7000,Schemes,Family members/Friends,Children's education/ Marriage,10,0
Female,32,1,0,Gold / Any other Materialistic investment,5000,Family member,News articles / Current affairs,Children's education/ Marriage,5,8
Male,34,1,150000,"Stocks - Intraday, long term",3000,Self motivation ,Books,Children's education/ Marriage,15,1
Female,58,0,400000,"Stocks - Intraday, long term",0,Through Bank,Mobile applications,Construction of own House / Buying a new Car,21,4
Female,59,1,80,"Stocks - Intraday, long term",7000,No one,News articles / Current affairs,All the above ,21,1
Female,56,0,200000,"Banking - RD, FD",3000,Self ,News articles / Current affairs,Construction of own House / Buying a new Car,25,2
Female,46,0,500000,Chit fund,7000,Schemes,Investors in bank,All the above ,3,4
Female,51,1,80,Marketing ,10000,Friends,Investors in bank,Construction of own House / Buying a new Car,1,1
Female,56,0,150000,"Real estate, Bonds",7000,Schemes,Mobile applications,Construction of own House / Buying a new Car,10,0
Female,37,0,250000,Crypto currency,3000,Schemes,Mobile applications,Tax saving,15,7
Male,51,0,384000,"Real estate, Bonds",3000,Self,Family members/Friends,Children's education/ Marriage,7,2
Female,28,1,600000,Mutual Funds,3000,Through Bank,Social media/ Articles,Personal Savings,15,0
Female,52,0,150000,Marketing ,5000,Self Interest ,Mobile applications,Tax saving,4,0
Female,34,0,600000,Not prepared ,7000,Family member,Social media/ Articles,Regarding your / Your Siblings marriage,5,8
Male,35,1,120000,Marketing ,3000,Social media/ Articles,Mobile applications,Regarding your / Your Siblings marriage,10,3
Female,34,1,400000,Mutual Funds,0,Self,Books,Regarding your / Your Siblings marriage,6,1
Female,34,1,200000,Not prepared ,10000,Family member,Social media/ Articles,Construction of own House / Buying a new Car,4,2
Male,45,1,384000,"Stocks - Intraday, long term",2000,Social media/ Articles,Social media/ Articles,All the above ,2,1
Male,31,1,180000,Mutual Funds,2000,Schemes,News articles / Current affairs,Wealth generation,25,3
Female,28,1,80,Gold / Any other Materialistic investment,3000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,8,8
Female,33,1,260000,Crypto currency,10000,Family member,Investors in bank,Construction of own House / Buying a new Car,7,2
Female,35,1,180000,Chit fund,0,Schemes,Family members/Friends,All the above ,4,3
Male,20,1,180000,Not prepared ,3000,Self ,Investors in bank,Construction of own House / Buying a new Car,15,5
Male,47,1,150000,Crypto currency,1000,Self ,Books,All the above ,4,5
Female,20,1,400000,Marketing ,2000,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,15,6
Male,27,1,200000,Crypto currency,3000,Schemes,News articles / Current affairs,Planning for finacial freedom after Retirement,10,6
Female,38,1,150000,"Banking - RD, FD",7000,Self ,Mobile applications,All the above ,1,7
Female,49,0,400000,Mutual Funds,3000,No one,Social media/ Articles,Wealth generation,6,5
Male,50,1,600000,Marketing ,5000,Friends,Books,Regarding your / Your Siblings marriage,20,4
Female,59,0,260000,"Banking - RD, FD",0,No one,Books,Tax saving,1,1
Male,32,0,80,"Real estate, Bonds",3000,Self motivation ,Family members/Friends,Personal Savings,21,1
Male,43,1,120000,"Stocks - Intraday, long term",2000,Self,Social media/ Articles,Children's education/ Marriage,15,5
Female,51,0,0,"Real estate, Bonds",0,Family member,Mobile applications,Regarding your / Your Siblings marriage,25,2
Male,55,0,80,Gold / Any other Materialistic investment,0,Self motivation ,Social media/ Articles,Construction of own House / Buying a new Car,3,1
Female,43,1,300000,"Stocks - Intraday, long term",10000,Self Interest ,Books,Regarding your / Your Siblings marriage,1,8
Female,29,0,360000,"Stocks - Intraday, long term",0,Friends,Books,Regarding your / Your Siblings marriage,25,1
Female,54,0,120000,"Real estate, Bonds",2000,Self ,Mobile applications,All the above ,5,1
Male,34,0,280000,Not prepared ,3000,Agents/Investment brokers,Investors in bank,All the above ,7,7
Male,24,1,280000,"Stocks - Intraday, long term",0,Self motivation ,Brokers,All the above ,1,2
Male,42,1,260000,Crypto currency,2000,Social media/ Articles,Books,Planning for finacial freedom after Retirement,9,4
Female,52,1,384000,"Real estate, Bonds",3000,Friends,News articles / Current affairs,Construction of own House / Buying a new Car,21,1
Male,28,1,200000,"Real estate, Bonds",2000,Social media/ Articles,News articles / Current affairs,Wealth generation,15,2
Female,27,1,300000,"Stocks - Intraday, long term",10000,Self motivation ,Books,All the above ,8,3
Female,23,0,384000,"Banking - RD, FD",5000,Self Interest ,Social media/ Articles,Planning for finacial freedom after Retirement,7,3
Female,51,0,300000,Not prepared ,0,No one,Social media/ Articles,Wealth generation,9,8
Female,39,0,250000,Gold / Any other Materialistic investment,0,Friends,Mobile applications,Construction of own House / Buying a new Car,21,2
Female,40,1,150000,Mutual Funds,5000,Friends,News articles / Current affairs,Tax saving,20,1
Male,54,0,200000,Marketing ,3000,Through Bank,Mobile applications,Personal Savings,9,4
Female,19,0,250000,Crypto currency,1000,Agents/Investment brokers,Social media/ Articles,Construction of own House / Buying a new Car,3,5
Female,60,0,280000,Crypto currency,2000,Family member,Family members/Friends,Regarding your / Your Siblings marriage,15,1
Female,47,0,200000,"Banking - RD, FD",5000,Self,News articles / Current affairs,Tax saving,21,0
Male,21,0,500000,"Stocks - Intraday, long term",10000,Self ,Brokers,Planning for finacial freedom after Retirement,3,2
Male,57,1,360000,Not prepared ,0,Friends,Brokers,Construction of own House / Buying a new Car,9,4
Female,28,1,280000,"Real estate, Bonds",3000,Self ,News articles / Current affairs,Children's education/ Marriage,15,6
Male,46,1,80,Gold / Any other Materialistic investment,7000,Agents/Investment brokers,News articles / Current affairs,Wealth generation,2,2
Female,55,0,260000,Marketing ,2000,Through Bank,Family members/Friends,Planning for finacial freedom after Retirement,20,8
Male,45,1,180000,Chit fund,7000,Schemes,Books,All the above ,4,3
Male,51,0,350000,Mutual Funds,5000,Schemes,Brokers,Regarding your / Your Siblings marriage,6,5
Female,44,1,300000,Not prepared ,10000,Friends,Social media/ Articles,Planning for finacial freedom after Retirement,2,4
Male,52,1,300000,"Stocks - Intraday, long term",7000,Friends,Brokers,Planning for finacial freedom after Retirement,8,6
Male,33,0,250000,Marketing ,3000,Self Interest ,Social media/ Articles,Tax saving,21,5
Female,60,0,80,Gold / Any other Materialistic investment,2000,Friends,Mobile applications,Wealth generation,25,5
Male,55,0,360000,Chit fund,1000,Self ,Family members/Friends,Construction of own House / Buying a new Car,7,0
Male,47,1,120000,Crypto currency,0,Friends,Brokers,Planning for finacial freedom after Retirement,6,2
Male,40,1,80,"Banking - RD, FD",7000,Through Bank,Books,Planning for finacial freedom after Retirement,6,5
Male,58,1,120000,Crypto currency,10000,No one,News articles / Current affairs,Wealth generation,10,2
Male,60,1,200000,Gold / Any other Materialistic investment,2000,Through Bank,Books,Wealth generation,4,4
Female,37,1,200000,"Stocks - Intraday, long term",2000,Self motivation ,Family members/Friends,Wealth generation,20,8
Male,38,0,120000,Gold / Any other Materialistic investment,3000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,25,4
Female,30,0,120000,"Real estate, Bonds",0,Through Bank,Brokers,Regarding your / Your Siblings marriage,8,8
Male,58,0,80,"Banking - RD, FD",10000,Social media/ Articles,News articles / Current affairs,Personal Savings,2,7
Male,43,0,280000,"Banking - RD, FD",10000,Family member,Mobile applications,Wealth generation,1,3
Male,23,1,280000,"Banking - RD, FD",2000,Social media/ Articles,Books,Construction of own House / Buying a new Car,1,6
Female,41,1,80,Chit fund,3000,Schemes,Family members/Friends,Regarding your / Your Siblings marriage,1,3
Female,31,1,250000,"Real estate, Bonds",7000,No one,Family members/Friends,Wealth generation,9,6
Male,29,0,260000,"Real estate, Bonds",1000,Self motivation ,Books,Construction of own House / Buying a new Car,10,8
Male,40,1,250000,Gold / Any other Materialistic investment,0,No one,News articles / Current affairs,All the above ,8,4
Female,40,1,80,"Real estate, Bonds",2000,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,10,4
Male,43,0,80,"Stocks - Intraday, long term",0,Friends,Books,Children's education/ Marriage,3,1
Female,20,1,250000,Not prepared ,7000,Friends,Investors in bank,Regarding your / Your Siblings marriage,8,8
Female,37,1,600000,Gold / Any other Materialistic investment,1000,Agents/Investment brokers,Mobile applications,All the above ,8,8
Female,47,0,80,Crypto currency,2000,Self Interest ,Investors in bank,All the above ,5,3
Female,45,0,600000,"Real estate, Bonds",3000,Schemes,Mobile applications,Tax saving,8,5
Female,28,0,400000,Chit fund,7000,Social media/ Articles,Family members/Friends,Personal Savings,2,3
Male,58,0,80,Gold / Any other Materialistic investment,2000,Self motivation ,Mobile applications,Tax saving,8,7
Male,22,0,250000,Crypto currency,2000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,3,1
Male,32,0,180000,Mutual Funds,1000,Agents/Investment brokers,News articles / Current affairs,Tax saving,3,3
Female,48,0,250000,Not prepared ,2000,Family member,Brokers,Wealth generation,21,1
Female,51,0,360000,Chit fund,7000,Family member,Social media/ Articles,Tax saving,2,1
Male,22,0,400000,Crypto currency,5000,Social media/ Articles,Family members/Friends,Personal Savings,9,0
Female,45,0,280000,Not prepared ,5000,No one,Investors in bank,Wealth generation,5,1
Female,43,0,400000,"Banking - RD, FD",3000,Self motivation ,Social media/ Articles,Children's education/ Marriage,9,0
Male,28,1,280000,Gold / Any other Materialistic investment,1000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,9,5
Female,29,0,360000,"Stocks - Intraday, long term",1000,Self motivation ,Mobile applications,Children's education/ Marriage,2,4
Male,25,1,360000,Chit fund,10000,Through Bank,Mobile applications,All the above ,4,7
Female,33,0,350000,"Real estate, Bonds",10000,Friends,Family members/Friends,Personal Savings,15,3
Female,56,0,150000,"Real estate, Bonds",10000,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,25,2
Male,28,0,600000,"Banking - RD, FD",7000,Agents/Investment brokers,News articles / Current affairs,Wealth generation,10,4
Male,37,0,180000,"Real estate, Bonds",1000,No one,Books,Personal Savings,20,2
Female,52,1,400000,Chit fund,0,Schemes,Family members/Friends,All the above ,20,6
Female,46,1,500000,Not prepared ,3000,Self motivation ,Books,Personal Savings,2,1
Female,58,1,80,"Real estate, Bonds",3000,Self Interest ,Brokers,Planning for finacial freedom after Retirement,1,6
Male,47,0,200000,Crypto currency,2000,Family member,Mobile applications,Regarding your / Your Siblings marriage,4,8
Female,24,0,350000,Marketing ,7000,No one,Books,Wealth generation,3,8
Female,29,1,500000,Not prepared ,2000,Self ,Books,Children's education/ Marriage,25,3
Male,52,0,250000,Not prepared ,5000,Self,News articles / Current affairs,All the above ,1,0
Female,48,0,400000,Crypto currency,3000,Self Interest ,Books,Children's education/ Marriage,8,8
Female,57,0,250000,Marketing ,5000,Agents/Investment brokers,Family members/Friends,Tax saving,21,7
Female,41,1,360000,Not prepared ,7000,Social media/ Articles,Social media/ Articles,Personal Savings,9,2
Female,19,1,400000,Marketing ,3000,No one,Brokers,Planning for finacial freedom after Retirement,2,1
Male,19,0,384000,"Stocks - Intraday, long term",3000,Agents/Investment brokers,Brokers,Children's education/ Marriage,10,5
Male,49,0,120000,Mutual Funds,0,Schemes,Social media/ Articles,Wealth generation,25,4
Male,34,0,260000,"Banking - RD, FD",0,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,8,0
Male,50,1,300000,Chit fund,0,Self,Books,All the above ,25,7
Male,53,0,500000,Chit fund,0,Self,Mobile applications,Regarding your / Your Siblings marriage,15,0
Male,43,1,250000,Crypto currency,7000,Family member,Books,Planning for finacial freedom after Retirement,1,3
Female,23,1,360000,Marketing ,0,Through Bank,Family members/Friends,Wealth generation,21,4
Female,30,0,384000,Not prepared ,10000,Schemes,Brokers,Construction of own House / Buying a new Car,8,8
Female,30,1,280000,"Banking - RD, FD",1000,Family member,Books,Wealth generation,9,8
Female,33,1,180000,"Banking - RD, FD",3000,Agents/Investment brokers,Family members/Friends,Personal Savings,8,5
Male,22,0,250000,Marketing ,10000,Through Bank,Books,Wealth generation,8,1
Female,32,0,400000,"Banking - RD, FD",2000,Social media/ Articles,Family members/Friends,Personal Savings,21,4
Male,32,0,400000,Gold / Any other Materialistic investment,1000,Social media/ Articles,Brokers,Planning for finacial freedom after Retirement,3,2
Female,54,0,180000,Marketing ,3000,Self ,Social media/ Articles,Wealth generation,7,6
Male,49,1,150000,Chit fund,2000,Schemes,Mobile applications,Children's education/ Marriage,15,7
Male,29,0,280000,Not prepared ,3000,Self Interest ,Brokers,All the above ,25,5
Male,52,1,384000,"Banking - RD, FD",1000,No one,News articles / Current affairs,Children's education/ Marriage,3,6
Male,55,1,120000,Not prepared ,10000,Through Bank,Investors in bank,Regarding your / Your Siblings marriage,3,5
Male,42,1,360000,"Banking - RD, FD",5000,Self ,Mobile applications,Construction of own House / Buying a new Car,15,8
Female,55,0,350000,"Real estate, Bonds",1000,Self motivation ,Mobile applications,Tax saving,2,2
Female,34,1,120000,Not prepared ,7000,Through Bank,News articles / Current affairs,All the above ,20,8
Female,39,0,80,Gold / Any other Materialistic investment,5000,Schemes,News articles / Current affairs,Regarding your / Your Siblings marriage,2,6
Male,57,1,150000,"Banking - RD, FD",5000,Self ,Family members/Friends,Construction of own House / Buying a new Car,1,1
Female,58,0,360000,"Real estate, Bonds",5000,Friends,Social media/ Articles,Wealth generation,7,2
Male,40,0,600000,Not prepared ,3000,Family member,Brokers,All the above ,7,6
Female,53,0,360000,"Real estate, Bonds",10000,Friends,Mobile applications,Tax saving,5,2
Male,29,0,180000,Crypto currency,5000,Through Bank,Social media/ Articles,Planning for finacial freedom after Retirement,4,1
Male,41,0,120000,Not prepared ,7000,Self motivation ,Mobile applications,Regarding your / Your Siblings marriage,7,5
Male,28,1,180000,Crypto currency,0,Friends,Books,Wealth generation,15,2
Female,37,0,150000,Mutual Funds,0,Agents/Investment brokers,Family members/Friends,Tax saving,7,5
Male,34,0,384000,"Real estate, Bonds",7000,No one,Books,Personal Savings,5,6
Female,39,0,280000,Chit fund,1000,Friends,Mobile applications,Construction of own House / Buying a new Car,3,2
Male,52,1,150000,Marketing ,7000,Self Interest ,Investors in bank,Regarding your / Your Siblings marriage,5,4
Female,47,0,150000,Marketing ,10000,Schemes,News articles / Current affairs,Personal Savings,7,1
Female,22,1,200000,Mutual Funds,10000,Schemes,Family members/Friends,Wealth generation,21,3
Male,47,0,200000,Mutual Funds,7000,Self Interest ,News articles / Current affairs,Tax saving,6,2
Male,23,0,280000,Chit fund,5000,Through Bank,Investors in bank,All the above ,1,0
Female,30,1,260000,Crypto currency,5000,Through Bank,Mobile applications,All the above ,2,5
Male,45,1,360000,"Stocks - Intraday, long term",2000,Self,Brokers,Construction of own House / Buying a new Car,8,5
Female,59,0,300000,Crypto currency,7000,Social media/ Articles,Investors in bank,Children's education/ Marriage,7,3
Male,32,1,384000,Mutual Funds,10000,Through Bank,Brokers,Tax saving,25,8
Female,33,1,0,Mutual Funds,1000,Self ,News articles / Current affairs,Planning for finacial freedom after Retirement,5,0
Male,22,0,360000,"Real estate, Bonds",10000,Self Interest ,Mobile applications,All the above ,2,5
Male,31,0,350000,Crypto currency,7000,Agents/Investment brokers,Social media/ Articles,Regarding your / Your Siblings marriage,10,5
Male,60,0,350000,Marketing ,2000,Self,Books,Wealth generation,15,8
Female,38,0,200000,Gold / Any other Materialistic investment,5000,Agents/Investment brokers,Social media/ Articles,Construction of own House / Buying a new Car,3,3
Male,57,0,0,"Banking - RD, FD",7000,Self ,Books,Regarding your / Your Siblings marriage,6,5
Female,32,1,250000,Marketing ,5000,Self,Books,Personal Savings,8,5
Male,44,0,350000,Marketing ,3000,Self motivation ,Investors in bank,Tax saving,6,5
Female,29,0,200000,"Banking - RD, FD",1000,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,8,6
Male,25,0,80,Crypto currency,5000,Through Bank,Family members/Friends,All the above ,6,0
Female,47,0,360000,Chit fund,2000,Schemes,News articles / Current affairs,Construction of own House / Buying a new Car,15,8
Male,50,1,260000,Not prepared ,10000,Self motivation ,Social media/ Articles,Regarding your / Your Siblings marriage,6,5
Female,21,0,120000,Gold / Any other Materialistic investment,3000,Self motivation ,Brokers,Children's education/ Marriage,8,5
Male,37,0,250000,"Real estate, Bonds",1000,Family member,Brokers,Tax saving,8,7
Male,30,0,120000,"Real estate, Bonds",7000,No one,Mobile applications,Wealth generation,9,0
Female,18,1,350000,Crypto currency,5000,Self ,Social media/ Articles,Construction of own House / Buying a new Car,6,2
Female,29,1,350000,Marketing ,10000,Friends,News articles / Current affairs,Tax saving,15,2
Male,33,1,120000,"Stocks - Intraday, long term",10000,Self motivation ,Mobile applications,Planning for finacial freedom after Retirement,5,7
Female,18,1,384000,Gold / Any other Materialistic investment,5000,No one,News articles / Current affairs,Tax saving,1,0
Male,35,1,200000,Marketing ,3000,No one,Mobile applications,Planning for finacial freedom after Retirement,6,4
Female,56,0,400000,Chit fund,0,Self ,Mobile applications,Planning for finacial freedom after Retirement,6,7
Female,46,0,384000,Not prepared ,10000,No one,Family members/Friends,Wealth generation,10,2
Male,57,1,250000,Mutual Funds,3000,Family member,Mobile applications,Children's education/ Marriage,6,8
Male,58,0,400000,"Banking - RD, FD",10000,Self ,Investors in bank,Planning for finacial freedom after Retirement,1,8
Male,46,0,180000,"Banking - RD, FD",5000,Social media/ Articles,Mobile applications,Construction of own House / Buying a new Car,8,3
Male,60,0,120000,Crypto currency,2000,Through Bank,Investors in bank,All the above ,8,4
Female,41,1,150000,Not prepared ,1000,Agents/Investment brokers,Mobile applications,Personal Savings,8,0
Female,41,0,260000,Gold / Any other Materialistic investment,2000,No one,Investors in bank,Planning for finacial freedom after Retirement,6,4
Male,49,1,0,Not prepared ,5000,Self motivation ,Investors in bank,Planning for finacial freedom after Retirement,1,8
Female,25,0,384000,"Real estate, Bonds",2000,Social media/ Articles,Family members/Friends,Wealth generation,15,2
Male,25,0,260000,"Stocks - Intraday, long term",0,Social media/ Articles,Books,Construction of own House / Buying a new Car,20,2
Female,19,1,280000,Marketing ,2000,Through Bank,Investors in bank,Wealth generation,25,8
Male,57,1,600000,"Stocks - Intraday, long term",0,Self,Family members/Friends,Personal Savings,20,8
Female,47,0,400000,Crypto currency,7000,Agents/Investment brokers,Family members/Friends,Planning for finacial freedom after Retirement,9,7
Male,38,0,250000,Chit fund,7000,Friends,Social media/ Articles,Tax saving,6,3
Male,29,1,300000,"Real estate, Bonds",0,Family member,Investors in bank,Wealth generation,7,0
Male,40,1,360000,"Banking - RD, FD",1000,Self Interest ,Brokers,Tax saving,25,0
Female,31,1,384000,"Stocks - Intraday, long term",3000,Self ,Mobile applications,Tax saving,7,7
Male,25,0,280000,Not prepared ,10000,Friends,Brokers,Construction of own House / Buying a new Car,2,3
Female,30,1,180000,Mutual Funds,5000,Social media/ Articles,Social media/ Articles,Construction of own House / Buying a new Car,2,7
Male,41,1,80,"Banking - RD, FD",3000,Self Interest ,News articles / Current affairs,Personal Savings,5,8
Male,23,0,500000,Marketing ,7000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,5,5
Male,20,1,120000,Crypto currency,10000,Self Interest ,News articles / Current affairs,Personal Savings,5,7
Male,23,0,200000,Chit fund,1000,Schemes,Family members/Friends,Wealth generation,4,8
Female,49,0,180000,"Stocks - Intraday, long term",5000,Through Bank,Social media/ Articles,Regarding your / Your Siblings marriage,10,2
Female,60,0,0,Chit fund,7000,Schemes,Mobile applications,All the above ,8,1
Male,59,0,80,"Stocks - Intraday, long term",10000,Self,Investors in bank,Construction of own House / Buying a new Car,8,7
Male,57,0,120000,Mutual Funds,5000,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,4,5
Female,58,0,300000,Not prepared ,3000,Self Interest ,Investors in bank,Personal Savings,3,6
Male,45,1,360000,Not prepared ,2000,Self motivation ,Investors in bank,Tax saving,4,5
Female,38,1,400000,Gold / Any other Materialistic investment,0,Social media/ Articles,Social media/ Articles,Children's education/ Marriage,2,2
Male,55,1,360000,"Stocks - Intraday, long term",0,Through Bank,Investors in bank,Wealth generation,3,8
Male,29,1,500000,"Banking - RD, FD",3000,Schemes,Investors in bank,Construction of own House / Buying a new Car,1,8
Male,51,1,500000,"Real estate, Bonds",0,Agents/Investment brokers,Social media/ Articles,Construction of own House / Buying a new Car,15,0
Male,19,0,80,"Banking - RD, FD",0,Social media/ Articles,Brokers,Children's education/ Marriage,25,4
Female,53,1,350000,Marketing ,3000,Family member,Investors in bank,Children's education/ Marriage,6,7
Male,45,0,120000,Crypto currency,0,Family member,Mobile applications,Construction of own House / Buying a new Car,5,4
Male,48,0,80,Mutual Funds,1000,Self,Social media/ Articles,Planning for finacial freedom after Retirement,10,6
Female,19,0,200000,Not prepared ,3000,Through Bank,News articles / Current affairs,All the above ,20,7
Male,38,0,350000,Mutual Funds,10000,Through Bank,Books,Planning for finacial freedom after Retirement,15,5
Female,21,1,260000,Crypto currency,1000,No one,Social media/ Articles,Children's education/ Marriage,3,3
Male,55,1,120000,Crypto currency,1000,Friends,News articles / Current affairs,Children's education/ Marriage,15,3
Male,45,1,384000,Mutual Funds,3000,Self motivation ,Mobile applications,Wealth generation,3,6
Female,35,0,80,Mutual Funds,3000,Self,Family members/Friends,All the above ,7,8
Male,21,1,300000,Marketing ,5000,Schemes,Social media/ Articles,Tax saving,1,7
Male,41,1,80,Gold / Any other Materialistic investment,10000,Family member,Brokers,Wealth generation,3,5
Female,22,0,120000,Not prepared ,0,Family member,Books,All the above ,15,2
Female,28,1,250000,Chit fund,10000,Self,Family members/Friends,Construction of own House / Buying a new Car,10,7
Female,56,1,360000,"Stocks - Intraday, long term",3000,Social media/ Articles,Brokers,Tax saving,6,1
Female,38,1,260000,Chit fund,10000,Family member,Social media/ Articles,Construction of own House / Buying a new Car,5,5
Male,39,0,350000,Chit fund,10000,Self Interest ,Family members/Friends,Construction of own House / Buying a new Car,7,8
Male,35,1,500000,Marketing ,0,No one,Brokers,Wealth generation,9,2
Female,57,0,120000,Not prepared ,10000,Through Bank,Social media/ Articles,Personal Savings,1,2
Female,42,0,180000,Mutual Funds,10000,Social media/ Articles,Social media/ Articles,Construction of own House / Buying a new Car,3,7
Male,34,0,200000,"Stocks - Intraday, long term",0,Agents/Investment brokers,Social media/ Articles,Personal Savings,5,5
Male,25,1,600000,"Stocks - Intraday, long term",7000,No one,Brokers,Wealth generation,9,6
Male,45,1,350000,Gold / Any other Materialistic investment,10000,Self ,Mobile applications,Wealth generation,21,3
Female,52,1,120000,"Banking - RD, FD",2000,Through Bank,Social media/ Articles,Construction of own House / Buying a new Car,6,0
Male,26,1,300000,Mutual Funds,0,Self,Brokers,All the above ,5,0
Male,38,0,360000,Chit fund,10000,Family member,Brokers,Wealth generation,25,1
Female,52,1,500000,Mutual Funds,7000,Through Bank,News articles / Current affairs,Construction of own House / Buying a new Car,8,4
Female,42,1,260000,Chit fund,3000,No one,Social media/ Articles,Children's education/ Marriage,6,6
Male,46,1,150000,Chit fund,3000,Through Bank,Books,Regarding your / Your Siblings marriage,1,5
